,comercio_id,mes_operacion,estado,moneda,num_transacciones,monto_transaccion,monto_contracargo_venta
399,47,01/08/21,CANCELLED,MXN,17,3540015.56,0.0
400,47,01/08/21,ERROR,MXN,15,2385.0,0.0
401,48,01/07/21,FAILED,MXN,"24,360",2273847.49,0.0
402,48,01/07/21,COMPLETED,MXN,"16,791",1473249.93,12356.6
403,48,01/07/21,ERROR,MXN,40,2949.13,0.0
404,48,01/08/21,FAILED,MXN,"18,785",2096080.12,0.0
405,48,01/08/21,COMPLETED,MXN,"14,065",1417576.33,10418.71
406,48,01/08/21,ERROR,MXN,6,445.77,0.0
407,49,01/07/21,FAILED,MXN,"20,891",7666909.21,0.0
408,49,01/07/21,COMPLETED,MXN,"14,962",3107644.71,165102.48
409,49,01/07/21,ERROR,MXN,29,8724.0,0.0
410,49,01/08/21,FAILED,MXN,"20,972",8189305.51,0.0
411,49,01/08/21,COMPLETED,MXN,"15,955",3541594.24,229037.71
412,49,01/08/21,ERROR,MXN,2,1374.0,0.0
413,50,01/07/21,COMPLETED,MXN,"25,733",13808403.47,0.0
414,50,01/07/21,FAILED,MXN,"8,096",6185626.94,0.0
415,50,01/07/21,ERROR,MXN,15,6240.52,0.0
416,50,01/08/21,COMPLETED,MXN,"27,421",13381301.9,817.74
417,50,01/08/21,FAILED,MXN,"11,016",4735180.21,0.0
418,50,01/08/21,ERROR,MXN,5,6257.25,0.0
419,50,01/08/21,CANCELLED,MXN,1,10.0,0.0
428,52,01/07/21,COMPLETED,MXN,"23,966",11525192.8,0.0
429,52,01/07/21,FAILED,MXN,"8,875",4912731.0,0.0
430,52,01/07/21,CANCELLED,MXN,97,433186.0,0.0
431,52,01/07/21,IN_PROGRESS,MXN,17,58415.0,0.0
432,52,01/07/21,ERROR,MXN,12,5832.0,0.0
433,52,01/08/21,COMPLETED,MXN,"24,092",10954385.75,0.0
434,52,01/08/21,FAILED,MXN,"9,835",4638159.5,0.0
435,52,01/08/21,IN_PROGRESS,MXN,43,65546.0,0.0
